"path","bytes","purpose"
"CONTEXT_FOR_AGENT.md","3607","Handoff context and tasking"
"plots\rep_fullv6_04.png","431913","Representative trajectory plot"
"plots\rep_fullv6_09.png","386588","Representative trajectory plot"
"plots\rep_sanityA1_00.png","266865","Representative trajectory plot"
"plots\rep_sanityA1_03.png","323235","Representative trajectory plot"
"sources\10_representative_long_runs_selection_ru.md","23176","Methodology for representative long runs"
"sources\12_quality_gates_and_scientific_verdict_ru.md","7438","Gate definitions and verdict interpretation"
"sources\campaign_evidence_summary.json","6975","Evidence campaign summary and verdict"
"sources\evidence_20260214.stderr.log","26786964","Campaign execution log"
"sources\evidence_20260214.stdout.log","116124","Campaign execution log"
"sources\evidence_v2_20260215.stderr.log","68787","Campaign execution log"
"sources\evidence_v2_20260215.stdout.log","167541","Campaign execution log"
"sources\quality_gates_baseline_v3.csv","1536","Baseline v3 gate metrics"
"sources\quality_gates_current_sanityA1.csv","2000","Current sanity run gate metrics"
"sources\research_core_report_sanityA1.md","3123","Scientific verdict and key results"
"sources\waves_summary_sanityA1.csv","840","Wave-by-wave convergence table"
"WorkPlan.pdf","134644","Original plan document"
"WorkStatus.pdf","120938","Original status document"
