metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.10700392587680396,3.8472597910795785,0.15694716953767823,0.09765058263922324,-0.02991607146508546,4.131689308862824,0.07841557579970557,0.1842316062397799
UnemploymentRate_mean,False,,identity,0.10700392587583574,0.03847259791081663,0.15694716948761933,0.09765058254277731,-0.03427074597743651,0.04140414866305243,0.07963014476451455,0.18284902847237244
Output_mean,False,,identity,0.5958662802606549,6.4028195682276285,0.6794741945070204,0.08789348900107843,0.7567106157581609,4.967870874199964,0.7800964939937624,0.05347242398725382
Consumption_mean,False,,identity,0.45329059980647757,5.964658459112753,0.4938963455384541,0.11539660448895608,0.542728614823053,5.454994570626225,0.5467434113773124,0.10235994006673038
Transfers_mean,False,,identity,0.46055986971182017,0.5374060222185311,0.5003705654628959,0.1190817419681498,0.5412308673565746,0.49559623437974704,0.5525804931193999,0.10646226661667453
AvgPrice_mean,False,,identity,0.9683670699344972,0.01831107803048158,0.8937169563611415,0.09979160405672248,0.9535965741156028,0.022177838939355307,0.9620925300743897,0.004541861981214521
AvgMarkup_mean,False,,identity,0.09064477502743595,0.014685993175484706,0.13158579335231982,0.0843758361382254,0.03835485936717864,0.015102330129172704,0.05844051061241751,0.14666583508649852
PriceDispersion_mean,False,,identity,0.4054678121780052,0.017447543681302153,0.3781285396937396,0.09181796705476387,0.5640395304517019,0.014940673116656653,0.4667379283796729,0.12496408956765506
InventoryGap_mean,False,,identity,0.11002516911231186,0.09078512580479203,0.10928914017236677,0.05646717141586485,-0.03936900227520068,0.09810942211300418,-0.007146507827262316,0.1351840201953016
SalesForecastError_mean,False,,identity,0.07467688250154703,0.008456779945711678,0.05995689308499974,0.0342942135291686,-0.10984518855598147,0.009261674752711453,-0.12487949255518956,0.12565642783399025
InventoryTurnover_mean,False,,identity,0.6468811573329286,0.03333105198171877,0.6706801914681468,0.023575070268619498,0.747263470822749,0.028198277700562383,0.741368042721269,0.0241474548893604
CreditRejections_mean,False,,identity,0.7920935306183036,4.948029525291313,0.808499676723125,0.06135735756256512,0.8965050397668684,3.49106457186976,0.8954911033178424,0.00829366574258269
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,-0.06516925699303311,0.43594548371691705,0.0811393461985767,0.08686993107296209,-0.28758748335804296,0.47930421072578266,-0.004452564734647768,0.23855806885832095
HH_Debt_mean,False,,log1p,0.03727731709797244,21.604991348720784,0.07054277756118148,0.03125694570016694,-0.008216547211405745,22.10957553684477,0.01538138424306983,0.07542039021772518
HH_Deposit_mean,False,,log1p,0.9006439903151572,1.1566609291077075,0.7705173820420144,0.08815340946656336,0.8990510818746867,1.1658960466465675,0.8956970491389951,0.01754016885673518
Firm_Debt_mean,False,,log1p,-0.014955865589911355,7.1422363869362515,-0.022373984910410583,0.015442753195444822,-0.1791759781300466,7.6983907810220105,-0.05777854303580434,0.0464406610745548
Bank_Equity_mean,False,,log1p,0.014433851742609582,2.032435093881169,0.010413797222214981,0.03549592453963842,-0.3599331711407363,2.3874406255838556,-0.15630430228873,0.1949362056379081
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.18617744909384093,0.07535696988844111,0.16302666072888386,0.055103001036519016,0.1609771453716643,0.0765148026859723,0.12283356132140569,0.10286743993288947
BankResolutionAmount_mean,False,,identity,0.160391724404774,0.9548360886112716,0.11738634661545086,0.05332327246853399,0.05841994379015836,1.011158170188621,0.05268382707001027,0.09652524413426156
BankResolutionHaircut_mean,False,,identity,0.7410784223025328,0.009188546406781111,0.7701583785252589,0.06289641299198856,0.8195523347444347,0.007670758754279375,0.8291381435635155,0.03710488881622378
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.5241313218643586,0.06963680128394621,0.6701490043451169,0.07131475474930389,0.5773919347145735,0.06562421846181914,0.6796315048558288,0.06789901608205962
Defaults_mean,False,,identity,0.1513744340553087,0.17074173413424273,0.11845622170027503,0.04257287216549291,0.08086092185805271,0.1776937889315383,0.07493925835105661,0.09920872112972574
DefaultsHH_mean,False,,identity,0.15211147353481203,0.1706675726077521,0.11753433033805974,0.043758599921615605,0.08761863270944426,0.17703936210578985,0.0744872420357358,0.10276879236917001
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.651740168064815,0.0011026162536499047,0.685129742798064,0.066481453678028,0.6237544660967502,0.0011460626886312447,0.7321086322379594,0.020755915667136887
DefaultsFirm_rate,False,,identity,0.5668632198900798,0.0009841317136422294,0.6891997743138174,0.0375488894396028,0.6191264095170532,0.0009228500186337035,0.7143750059227228,0.0519859177180301
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.6532381131364162,0.033333767908509365,0.6624470634420413,0.09686369006652981,0.7355417237561224,0.02911034214864408,0.7030228995221564,0.041745530088980805
BankBailedOut_share,False,,identity,0.39142442252007104,0.005441672687749729,0.5458415577559247,0.08827758668718831,0.4389636755017926,0.005224811735091557,0.580235684881783,0.06825331039429866
