check,pass,value,contour,blocking,gate_group,reason_code
"NROY wave2 in [25,60]%",True,44.57%,legacy,False,emulator_hm,ok
"NROY wave2 in [25,65]%",True,44.57%,stability,True,emulator_hm,ok
I_max median wave2 < 3.0,True,2.6064,stability,True,emulator_hm,ok
I_max p95 wave2 < 4.5,True,3.2574,stability,True,emulator_hm,ok
Emulator CV-R2 median >= 0.60,True,0.6878,stability,True,emulator_hm,ok
Emulator CV-R2 share>=0.30 >= 0.65,True,1.0000,stability,True,emulator_hm,ok
bad_run_pct_w2 <= 5%,True,0.00%,stability,True,abm,ok
Representative Employment_mean >= 45,False,min=23.1500,stability,True,interpretability,employment_below_floor
Representative Output_mean >= 50,False,min=23.7580,stability,True,interpretability,output_below_floor
Representative Consumption_mean >= 50,False,min=26.8851,stability,True,interpretability,consumption_below_floor
Representative BankFailed_share == 0,True,max=0.000000,stability,True,abm,ok
Representative BalanceOK_share == 1,True,min=1.000000,stability,True,abm,ok
SA components EV/OU/MD/CU present,True,"components=['CU', 'EV', 'MD', 'OU']",stability,True,confirmatory,ok
SA has >=16 rows,True,rows=16,stability,True,confirmatory,ok
SA ranks present,True,rank_cols=True,stability,True,confirmatory,ok
"Structural: PriceDispersion median in [0.03,0.30]",True,median=0.0946,structural,True,interpretability,ok
Structural: |InventoryGap| p95 <= 1.5,True,p95_abs=0.1749,structural,True,interpretability,ok
Structural: CreditRejectionRate mean <= 0.80,True,mean=0.6492; p90=0.8462,structural,True,interpretability,ok
Structural(reference): CreditRejections p90 <= 30,False,p90=83.4667,structural,False,interpretability,credit_rejections_reference_failed
Structural(reference): CreditRejections p90 <= 90,True,p90=83.4667,structural,False,interpretability,ok
Structural(reference): CreditRejections p90 improvement vs baseline >= 15%,True,"improve=20.36% (baseline=104.805, p90=83.4667)",structural,False,interpretability,ok
Confirmatory stability (|NROY delta| <= 5.0pp and SA top2 stable),False,nroy_delta_pp=31.43; sa_top2_stable=True,stability,True,confirmatory,confirmatory_unstable
