metric,skipped,reason,y_transform,gpr_r2,gpr_rmse,gpr_r2_cv_mean,gpr_r2_cv_std,rf_r2,rf_rmse,rf_r2_cv_mean,rf_r2_cv_std
Employment_mean,False,,identity,0.2793796813927715,3.5433085738627956,0.2527292546863463,0.1292413282001328,0.27594194639701786,3.5517502335970903,0.2362633553654958,0.15827574538295186
UnemploymentRate_mean,False,,identity,0.2793796813937751,0.035433085738603265,0.2527292546856208,0.12924132819947867,0.28023221410910737,0.035412119909796175,0.23459636839829517,0.15915864261967747
Output_mean,False,,identity,0.8315819591779994,4.283408119710496,0.7222389294034534,0.09026319421899039,0.816830894999516,4.467054610212909,0.8123555638708145,0.05880088190180668
Consumption_mean,False,,identity,0.671276124491118,5.32923051710513,0.6662674557482953,0.07995572009136258,0.7806893177920833,4.352900849233732,0.7225411801599767,0.09009856841261155
Transfers_mean,False,,identity,0.6593104122256876,0.5013159217813775,0.6571931066398717,0.09503152143757665,0.7856438195348837,0.39764916293055,0.7108460002497177,0.10216492206061598
AvgPrice_mean,False,,identity,0.806184359575743,0.050885953027906876,0.8959097358819401,0.09342180229668991,0.9646629108361734,0.021727956772541766,0.9693636396692739,0.0061520926319937295
AvgMarkup_mean,False,,identity,0.27797588830430475,0.014134261827324381,0.2807251289351284,0.09650887071750308,0.2922375308525095,0.013993973471935975,0.2899215489308246,0.134478093676316
PriceDispersion_mean,False,,identity,0.5223606980725858,0.017260934956908277,0.5715339239547852,0.07975837420456092,0.6401141340141409,0.014982927702290379,0.6430872818562361,0.03888394196428723
InventoryGap_mean,False,,identity,0.196166983694808,0.11771096444730701,0.2853971649392822,0.05222981251349046,0.16802093624739733,0.11975404638117082,0.24569568768246347,0.07386058093675474
SalesForecastError_mean,False,,identity,0.129920456464387,0.007225083810496658,0.1367123197024322,0.05259547985447868,0.026523078035689984,0.007642337980310895,0.08764499615495414,0.11305224904344317
InventoryTurnover_mean,False,,identity,0.4614754273733639,0.06413911744161631,0.6643986569503919,0.06758544771559284,0.5835066611763431,0.05640586287791988,0.6706471330830633,0.0750991383999583
CreditRejections_mean,False,,identity,0.7614124146833706,4.822134661818863,0.7746847764149697,0.0438286145734421,0.875808426010281,3.4790564776312194,0.8731662429415394,0.00807821809935034
FirmDowntimeShare_mean,True,low_variance,,,,,,,,,
ReentryCount_mean,True,low_variance,,,,,,,,,
UnemploymentTransfers_mean,False,,identity,0.16121506425764598,0.42086151431886265,0.060836378667831495,0.2964788230697005,0.09294407633252,0.4376540325364804,0.026799240584953022,0.3674553691125811
HH_Debt_mean,False,,log1p,0.037447393693008646,19.87160240676725,0.0853030538042245,0.03405960773101809,0.04330707322890137,19.811024431129248,0.02410468978837179,0.01902167846586816
HH_Deposit_mean,False,,log1p,0.7577664365694984,1.3037236644991717,0.7653226670132348,0.10798333426871663,0.8816305710798282,0.9113562281105174,0.8759210777994442,0.015611174007882747
Firm_Debt_mean,False,,log1p,-0.028277102892612982,11.475004440583009,-0.014612539614299602,0.026266076264657674,0.015358668117411267,11.228889565729274,-0.023988230214056848,0.05414172967552382
Bank_Equity_mean,False,,log1p,0.017279888887260952,2.4604937383957144,0.010148559212283793,0.04215293763893311,-0.10771561476435698,2.6122905603880655,-0.08458243952358299,0.11654193791645273
BankFailed_mean,True,low_variance,,,,,,,,,
BankResolved_mean,False,,identity,0.12967649341490917,0.07365441972781948,0.17653773728276198,0.035975295697839825,0.14293938222992053,0.07309105412738531,0.16663691401946848,0.06428134025322896
BankResolutionAmount_mean,False,,identity,0.06683749791095106,0.9665488235977245,0.11409306605914664,0.026536904626391196,0.03612608922032556,0.9823251648766631,0.06281526044928923,0.050527668946821244
BankResolutionHaircut_mean,False,,identity,0.5546642140752955,0.008493507461645384,0.564024768995322,0.07198901117166222,0.6509249588687352,0.007519737388074943,0.6476323021191626,0.033881766454445024
BankBailedOut_mean,True,low_variance,,,,,,,,,
BankBailoutAmount_mean,False,,identity,0.38555467786156417,0.038878912236397105,0.4912270411999538,0.3529554702296258,0.4922724176312522,0.035341734753287155,0.4968970939168741,0.3560007027246887
Defaults_mean,False,,identity,0.05008989670727304,0.17163142362781256,0.13286865085565122,0.06175381690745888,0.0016554975086420232,0.17595263165198374,0.10870641398052165,0.1266991023070028
DefaultsHH_mean,False,,identity,0.0509147061629327,0.17155689343601638,0.13046121763594498,0.06256646943019303,0.005204872496709645,0.17563957441484737,0.10493227983508994,0.12851692141827617
DefaultsFirm_mean,True,low_variance,,,,,,,,,
BalanceOK_mean,True,low_variance,,,,,,,,,
DefaultsHH_rate,False,,identity,0.6368045903012549,0.000953868068785467,0.6933720315438394,0.10201337835157306,0.5549538056803094,0.0010558948730243006,0.7273265190276419,0.07089503225116012
DefaultsFirm_rate,False,,identity,0.589235631965107,0.0009964504080501794,0.7017862994650665,0.02624308899611225,0.6517004538867679,0.0009175627236484952,0.7244564521783105,0.05205138099282752
BalanceOK_share,True,low_variance,,,,,,,,,
BankFailed_share,True,low_variance,,,,,,,,,
BankResolved_share,False,,identity,0.639668849300485,0.03490546865029889,0.6624755007009044,0.07167329867565662,0.7377972573527403,0.02977564542187996,0.7327372621804122,0.03531569511748875
BankBailedOut_share,False,,identity,-0.06778964517001573,0.0031338090537729323,0.14685313028813568,0.2277548271012531,-0.29608207026628386,0.003452597325567672,0.08356826305881733,0.29516418246276227
