metric,target,sigma_obs,sigma_model_base,sigma_model_calibrated,sigma_model_delta,sigma_model_source,residual_groups,residual_median_abs,residual_q75_abs,notes
Employment_mean,65.0,5.0,9.37321875,9.37321875,0.0,fixed_baseline,0,,,
Output_mean,80.0,10.0,10.986821469805134,10.986821469805134,0.0,fixed_baseline,0,,,
Consumption_mean,80.0,10.0,12.751738637759365,12.751738637759365,0.0,fixed_baseline,0,,,
AvgPrice_mean,1.05,0.05000000000000001,0.07078583399793946,0.07078583399793946,0.0,fixed_baseline,0,,,
DefaultsHH_rate,0.004,0.002,0.0005788125000000166,0.0005788125000000166,0.0,fixed_baseline,0,,,
BankFailed_share,0.0,0.01,4.375e-10,4.375e-10,0.0,fixed_baseline,0,,,
BankResolved_share,0.05,0.03,0.015946875000000003,0.015946875000000003,0.0,fixed_baseline,0,,,
BankResolutionHaircut_mean,0.02,0.01,0.0032765132507599193,0.0032765132507599193,0.0,fixed_baseline,0,,,
BankBailedOut_share,0.02,0.02,0.004016250000000013,0.004016250000000013,0.0,fixed_baseline,0,,,
BankBailoutAmount_mean,0.2,0.20000000000000004,0.06378750000000001,0.06378750000000001,0.0,fixed_baseline,0,,,
Transfers_mean,6.5,2.0,0.9911233000494164,0.9911233000494164,0.0,fixed_baseline,0,,,
HH_Deposit_mean,1.5,1.0,0.4361084375627819,0.4361084375627819,0.0,fixed_baseline,0,,,
Bank_Equity_mean,10.0,7.5,2.4039086599384643,2.4039086599384643,0.0,fixed_baseline,0,,,
